objective,explanation,lecture_id,include,category,mastery_score,exam,system
Identify key anatomical structures & relationships in thorax,,"Clinical anatomy of lungs, pleura & spaces",y,Anatomy,1,Exam 1,Respiratory
Define the thoracic (and abdominal) spaces,,"Clinical anatomy of lungs, pleura & spaces",y,Anatomy,1,Exam 1,Respiratory
Compare and contrast pleura and peritoneum,,"Clinical anatomy of lungs, pleura & spaces",y,Anatomy,1,Exam 1,Respiratory
Describe innervation of the pleura,,"Clinical anatomy of lungs, pleura & spaces",y,Anatomy,1,Exam 1,Respiratory
"Compare and contrast lines of pleura reflection & surface projection of the lungs, and apply this to clinical exams",,"Clinical anatomy of lungs, pleura & spaces",y,Anatomy,1,Exam 1,Respiratory
Draw the layers of the thoracic & abdominal spaces,,"Clinical anatomy of lungs, pleura & spaces",y,Anatomy,1,Exam 1,Respiratory
"Define the terms: Intraperitoneal, retroperitoneal, and secondarily retroperitoneal and identify anatomical structures which fit into each category",,"Clinical anatomy of lungs, pleura & spaces",y,Anatomy,1,Exam 1,Respiratory
Describe the mechanics of pulmonary ventilation (Breathing),,Respiratory module 1: Biomechanics of breathing,y,Physiology,1,Exam 1,Respiratory
Describe the factors that determine mechanical ventilation,,Respiratory module 1: Biomechanics of breathing,y,Physiology,1,Exam 1,Respiratory
Explain the role of lung compliance during breathing,,Respiratory module 1: Biomechanics of breathing,y,Physiology,1,Exam 1,Respiratory
Explain the effect of airway radius on ventilation,,Respiratory module 1: Biomechanics of breathing,y,Physiology,1,Exam 1,Respiratory
Define lung volumes and capacities as measured by spirometry,,Respiratory module 1: Biomechanics of breathing,y,Physiology,1,Exam 1,Respiratory
Describe the factors that affect gas diffusion in the lungs,,Respiratory module 2: Ventilation perfusion and gas exchange,y,Physiology,1,Exam 1,Respiratory
Describe how gas diffusion in the lung is measured,,Respiratory module 2: Ventilation perfusion and gas exchange,y,Physiology,1,Exam 1,Respiratory
Explain the local mechanisms that regulate lung perfusion and ventilation,,Respiratory module 2: Ventilation perfusion and gas exchange,y,Physiology,1,Exam 1,Respiratory
Explain how O2 and CO2 are transported in plasma,,Respiratory module 3: Transport of gases and control of breathing,y,Physiology,1,Exam 1,Respiratory
Describe the location and function of the brain's respiratory centre,,Respiratory module 3: Transport of gases and control of breathing,y,Physiology,1,Exam 1,Respiratory
Compare the roles of O2 and CO2 in control of ventilation,,Respiratory module 3: Transport of gases and control of breathing,y,Physiology,1,Exam 1,Respiratory
Evaluate the effects of barometric pressure on respiration,,Respiratory module 3: Transport of gases and control of breathing,y,Physiology,1,Exam 1,Respiratory
Apply the principles of control of breathing to the problems caused by breath hold diving,,Respiratory module 3: Transport of gases and control of breathing,y,Physiology,1,Exam 1,Respiratory
Appreciate the range of common respiratory tract infections (RTIs),,Upper respiratory tract infections,y,Microbiology,1,Exam 1,Respiratory
Recognise the major respiratory pathogens and describe the infections caused,,Upper respiratory tract infections,y,Microbiology,1,Exam 1,Respiratory
Describe the basic symptoms and steps taken to diagnose RTIs,,Upper respiratory tract infections,y,Microbiology,1,Exam 1,Respiratory
Assess critically the need for antibiotics,,Upper respiratory tract infections,y,Microbiology,1,Exam 1,Respiratory
Be aware of rare but potentially serious respiratory infections requiring urgent attention,,Upper respiratory tract infections,y,Microbiology,1,Exam 1,Respiratory
Summarise the immune-anatomy and evaluate the importance of physical barriers in the respiratory system,,"Respiratory immunology, allergy, and host defence",y,Immunology,1,Exam 1,Respiratory
"Distinguish the roles of the innate immune macrophages, neutrophils and dendritic cells in respiratory immunity",,"Respiratory immunology, allergy, and host defence",y,Immunology,1,Exam 1,Respiratory
Appraise the role of adaptive immune cells in the respiratory tract and explain the requirement for mucosal IgA to be noninflammatory,,"Respiratory immunology, allergy, and host defence",y,Immunology,1,Exam 1,Respiratory
Analyse the development and pathology of allergic responses to aero-antigens,,"Respiratory immunology, allergy, and host defence",y,Immunology,1,Exam 1,Respiratory
Describe the major characteristics of asthma and how they drive treatment,,Asthma and COPD,y,Pharmacology,1,Exam 1,Respiratory
Understand the mechanisms of action and use of different classes of medication used to treat asthma,,Asthma and COPD,y,Pharmacology,1,Exam 1,Respiratory
Describe the major causes and characteristics of Chronic Obstructive Pulmonary Disease (COPD) and how they drive treatment,,Asthma and COPD,y,Pharmacology,1,Exam 1,Respiratory
Understand the mechanisms of action and use of different classes of medication used to treat COPD,,Asthma and COPD,y,Pharmacology,1,Exam 1,Respiratory
Discuss the role of pharmacological agents for the treatment of respiratory infections,,Pulmonary antimicrobials,y,Pharmacology,1,Exam 1,Respiratory
Explain the factors that guide your decisions,,Pulmonary antimicrobials,y,Pharmacology,1,Exam 1,Respiratory
Identify the sources of information that will guide your decisions about drug choices for these conditions,,Pulmonary antimicrobials,y,Pharmacology,1,Exam 1,Respiratory
Identify the organs which develop from the gut tube,,Development & adult anatomy of the foregut,y,Anatomy,1,Exam 1,GIT
Describe the key steps involved with gut development,,Development & adult anatomy of the foregut,y,Anatomy,1,Exam 1,GIT
"Compare and contrast typical foregut development with atypical development, noting the anatomical implications related to anatomical relationships",,Development & adult anatomy of the foregut,y,Anatomy,1,Exam 1,GIT
Identify the adult anatomical relationships determined during fetal development,,Development & adult anatomy of the foregut,y,Anatomy,1,Exam 1,GIT
"Describe the driver of foregut rotation, and the typical axis of this rotation",,Development & adult anatomy of the foregut,y,Anatomy,1,Exam 1,GIT
Compare and contrast adult peritoneal ligaments/reflections/mesentery with mesoderm,,Development & adult anatomy of the foregut,y,Anatomy,1,Exam 1,GIT
"Add to your classification of the visceral relationships with peritoneum (i.e. intra-, retro-, and secondarily retro-
peritoneal)",,Development & adult anatomy of the foregut,y,Anatomy,1,Exam 1,GIT
"Review embryonic folding, and identify how this process impacts midgut and hindgut development",,Development & adult anatomy of the midgut and hindgut,y,Anatomy,1,Exam 1,GIT
Identify the axis and steps of midgut rotation,,Development & adult anatomy of the midgut and hindgut,y,Anatomy,1,Exam 1,GIT
"Discuss how midgut loop rotation impacts the infant and adult anatomical relationships of the foregut, midgut, and hindgut",,Development & adult anatomy of the midgut and hindgut,y,Anatomy,2,Exam 1,GIT
Identify the relationships of abdominal viscera to the peritoneum,,Development & adult anatomy of the midgut and hindgut,y,Anatomy,1,Exam 1,GIT
"Compare and contrast appendix/ascending colon development to transverse and descending colon, with a focus on adult positioning",,Development & adult anatomy of the midgut and hindgut,y,Anatomy,1,Exam 1,GIT
"Identify the steps of hindgut development, and discuss how the germ layer derivatives impact innervation, lymphatic drainage, and vascular supply",,Development & adult anatomy of the midgut and hindgut,y,Anatomy,1,Exam 1,GIT
Describe some of the functions of the anterior abdominal wall,,Anterior abdominal wall & descent of testes,y,Anatomy,1,Exam 1,GIT
Compare and contrast the muscular layers of the anterior abdominal wall,,Anterior abdominal wall & descent of testes,y,Anatomy,1,Exam 1,GIT
Compare and contrast the layers (muscular and fascial) of the anterior abdominal wall superior and inferior to the arcuate line,,Anterior abdominal wall & descent of testes,y,Anatomy,1,Exam 1,GIT
"Identify the nervous innervation of the anterior abdominal wall, and how the anatomical relationships of these nerves apply to a surgical scenario",,Anterior abdominal wall & descent of testes,y,Anatomy,1,Exam 1,GIT
"Trace the pathways of the vascular supply of the anterior abdominal wall, and identify the layers this sit in",,Anterior abdominal wall & descent of testes,y,Anatomy,1,Exam 1,GIT
Identify the boundaries and location of the inguinal canal,,Anterior abdominal wall & descent of testes,y,Anatomy,1,Exam 1,GIT
"Describe the developmental steps involved with testes descent, and how this relates to the anterior abdominal wall",,Anterior abdominal wall & descent of testes,y,Anatomy,1,Exam 1,GIT
Compare and contrast the lymphatic drainage of the testes and the scrotum,,Anterior abdominal wall & descent of testes,y,Anatomy,1,Exam 1,GIT
"Draw a diagram showing the different sections of the gastrointestinal tract/gut, as well as the accessory glands and organs",,Introduction and neuronal control of the gut,y,Physiology,1,Exam 1,GIT
List the four major functions of the gut,,Introduction and neuronal control of the gut,y,Physiology,1,Exam 1,GIT
Explain how the circular and longitudinal smooth muscle layers of the gut alter the length and diameter of the gut tube,,Introduction and neuronal control of the gut,y,Physiology,1,Exam 1,GIT
Describe oesophageal peristalsis as an example of gut motility,,Introduction and neuronal control of the gut,y,Physiology,1,Exam 1,GIT
List the smooth and skeletal muscle sphincters in the gut and label them on a diagram of the gut,,Introduction and neuronal control of the gut,y,Physiology,1,Exam 1,GIT
Describe the anatomy of the enteric nervous system,,Introduction and neuronal control of the gut,y,Physiology,1,Exam 1,GIT
"Discuss the control of motility, secretions and smooth muscle sphincter opening/closing by the autonomic and the enteric nervous systems",,Introduction and neuronal control of the gut,y,Physiology,1,Exam 1,GIT
Include what triggers these types of motility and their neuronal control,,Gut motility,y,Physiology,1,Exam 1,GIT
Include what triggers these types of motility and their neuronal control,,Gut motility,y,Physiology,1,Exam 1,GIT
"Use examples of homeostatic imbalance (constipation, diarrhea) to explain normal digestive function in the intestines",,Gut motility,y,Physiology,1,Exam 1,GIT
"Explain the roles of sensory, autonomic, enteric and somatic nerves in the defecation reflex",,Gut motility,y,Physiology,1,Exam 1,GIT
List five functions of saliva and explain these functions in the context of the effects of xerostomia,,Gut secretions 1,y,Physiology,1,Exam 1,GIT
Describe how salivation is regulated by parasympathetic nerve activation,,Gut secretions 1,y,Physiology,1,Exam 1,GIT
Explain drugs that modulate muscarinic receptor activation to treat ptyalism or xerostomia,,Gut secretions 1,y,Physiology,1,Exam 1,GIT
Describe the three phases of swallowing (deglutition),,Gut secretions 1,y,Physiology,1,Exam 1,GIT
Explain the neuronal control of swallowing,,Gut secretions 1,y,Physiology,1,Exam 1,GIT
Discuss common causes and treatment of dysphasia,,Gut secretions 1,y,Physiology,1,Exam 1,GIT
Draw an acid/HCl-secreting parietal cell showing basal HCl secretion,,Gut secretions 1,y,Physiology,1,Exam 1,GIT
"Explain the receptor-mediated increases in HCl secretion with histamine, gastrin and acetylcholine during the 3 phases of gastric secretory activity",,Gut secretions 1,y,Physiology,1,Exam 1,GIT
Discuss pharmacological treatments of excess parietal HCl secretion,,Gut secretions 1,y,Physiology,1,Exam 1,GIT
"Explain the roles of bile, cholecystokinin (CCK) and secretin in the emulsification and chemical digestion of fats",,Gut secretions 2,y,Physiology,1,Exam 1,GIT
Describe what triggers the secretion of CCK and secretin following ingestion of a meal,,Gut secretions 2,y,Physiology,1,Exam 1,GIT
"Describe the roles of pancreatic (exocrine) secretions in fat, protein and carbohydrate digestion",,Gut secretions 2,y,Physiology,1,Exam 1,GIT
"Discuss how the entry of pancreatic secretions into the duodenum is regulated by CCK, secretin and vagal/parasympathetic nerve activation",,Gut secretions 2,y,Physiology,1,Exam 1,GIT
Use the effects of pancreatitis to explain normal pancreatic functions in digestive physiology,,Gut secretions 2,y,Physiology,1,Exam 1,GIT
Describe the composition of bile and the functions of its key constituents,,Bile synthesis and the enterohepatic circulation,y,Physiology,1,Exam 1,GIT
"Explain the synthesis, secretion, and flow of bile through the biliary system to the duodenum",,Bile synthesis and the enterohepatic circulation,y,Physiology,1,Exam 1,GIT
"Discuss the enterohepatic circulation of bile components, particularly bile salts, and their physiological significance",,Bile synthesis and the enterohepatic circulation,y,Physiology,1,Exam 1,GIT
Define jaundice and outline its underlying causes,,Jaundice,y,Physiology,1,Exam 1,GIT
"Explain the classification of jaundice into prehepatic, hepatic, and posthepatic types",,Jaundice,y,Physiology,1,Exam 1,GIT
Recognize the key clinical features and typical investigation findings associated with each type of jaundice,,Jaundice,y,Physiology,1,Exam 1,GIT
"Appreciate that GIT infections can be caused by viral, bacterial, protozoal or helminth (worms) type pathogens",,Infection of the gut,y,Microbiology,1,Exam 1,GIT
Name and give examples of some common important viral and bacterial causative agents of GIT infections,,Infection of the gut,y,Microbiology,1,Exam 1,GIT
Relate the most common clinical presentations to the pathogenesis of the viral or bacterial agent,,Infection of the gut,y,Microbiology,1,Exam 1,GIT
Indicate how common bacterial and viral GIT infections may be diagnosed and managed,,Infection of the gut,y,Microbiology,1,Exam 1,GIT
Explain the actions of drugs used to modify gut motility,,Drugs affecting GIT motility,y,Pharmacology,1,Exam 1,GIT
Identify the factors responsible for vomiting,,Drugs affecting GIT motility,y,Pharmacology,1,Exam 1,GIT
Describe the mode of action of pharmacological agents used in the treatment of vomiting,,Drugs affecting GIT motility,y,Pharmacology,1,Exam 1,GIT
Define the nutrients and non-nutrients and their biological roles,,Key concepts in nutrition science,y,Nutrition,1,Exam 1,GIT
"Explain energy balance and energy density, and their use in human nutrition",,Key concepts in nutrition science,y,Nutrition,1,Exam 1,GIT
Describe the techniques to assess energy intake & expenditure,,Key concepts in nutrition science,y,Nutrition,1,Exam 1,GIT
Discuss the mechanisms that regulate energy balance,,Key concepts in nutrition science,y,Nutrition,1,Exam 1,GIT
"Interpret the interactions between physiological, psychological, sociocultural & environmental factors that influence food intake",,Key concepts in nutrition science,y,Nutrition,1,Exam 1,GIT
Describe how national nutrient intake recommendations are derived,,"Nutrients in the body, deficiencies and excesses",y,Nutrition,1,Exam 1,GIT
Identify requirements and food sources for macronutrients in healthy adults,,"Nutrients in the body, deficiencies and excesses",y,Nutrition,1,Exam 1,GIT
Describe the effect of altering macronutrient quantity and distribution,,"Nutrients in the body, deficiencies and excesses",y,Nutrition,1,Exam 1,GIT
Identify key food sources of the micronutrients most at risk of deficiency or toxicity,,"Nutrients in the body, deficiencies and excesses",y,Nutrition,1,Exam 1,GIT
Differentiate clinical symptoms of common nutrient deficiencies and excesses,,"Nutrients in the body, deficiencies and excesses",y,Nutrition,1,Exam 1,GIT
