objective,explanation,lecture_id,include,category,exam,system
Demonstrate the embryological and anatomical importance of the pharynx in connecting the visceral spaces,,Y2S2,n,,,
Introduce fasciae in the head and neck,,Y2S2,n,,,
Introduce the cranial nerves as an important area of study,,Y2S2,n,,,
Describe the layers of the cervical fascia,,Y2S2,n,,,
Identify the major spaces of the neck,,Y2S2,n,,,
Predict potential spread of pathology along neck fascial planes,,Y2S2,n,,,
"Identify the germ layers contributing to the pharyngeal apparatus, and the structures these form within the pharyngeal apparatus",,Y2S2,n,,,
"Label the components of the pharyngeal apparatus, and identify the adult derivatives of each pharyngeal arch component",,Y2S2,n,,,
"Outline the cranial nerves associated with each pharyngeal arch, and the implications for innervation post-natal",,Y2S2,n,,,
Describe the impact of atypical development on the anatomical structure of the head and neck,,Y2S2,n,,,
Articulate how awareness of pharyngeal arch development can help with patient diagnosis and treatment,,Y2S2,n,,,
Explain the composition of blood,,Y2S2,n,,,
Outline the most significant blood group systems in the use of blood products,,Y2S2,n,,,
"Outline key concepts in blood compatibility testing, including antiglobulin tests",,Y2S2,n,,,
Describe main blood component products and indications for their use,,Y2S2,n,,,
Identify types of adverse transfusion reactions,,Y2S2,n,,,
Outline the process of coagulation and fibrinolysis in normal haemostasis,,Y2S2,n,,,
Identify the clinical signs of coagulation and platelet disorders,,Y2S2,n,,,
Outline the presentation and pathophysiology of significant coagulation disorders,,Y2S2,n,,,
Identify tests used for the diagnosis of coagulation disorders,,Y2S2,n,,,
Interpret basic coagulation diagnostic tests in a clinical context,,Y2S2,n,,,
Outline the basic concepts of anticoagulant treatment,,Y2S2,n,,,
"Discuss the interplay of medical, scientific, social, cultural, political, economic and ethical factors in health and human rights",,Y2S2,n,,,
Describe impacts of human rights policies and practices on vulnerable populations,,Y2S2,n,,,
Describe ways in which globalisation manifests as a connected set of processes which impact health at individual and community levels,,Y2S2,n,,,
Identify improvements in specific global health indicators which have been generated by contemporary globalisation,,Y2S2,n,,,
Discuss the ways globalisation has increased health inequity within and across countries,,Y2S2,n,,,
"Identify key relationships between trade liberalisation and food insecurity, access to medicines and changes in prevalence of non-communicable disease",,Y2S2,n,,,
Understand the principles of pandemic preparedness,,Y2S2,n,,,
"Describe the innervation and adult anatomy of the tongue, and compare this to pharyngeal arch derivatives",,Y2S2,n,,,
Explain the adult location and clinical anomalies related to thyroid development,,Y2S2,n,,,
"Examine the link between face structural development and the pharyngeal arches, and how knowledge of this can impact clinical diagnosis and outcomes like cleft lip and palate",,Y2S2,n,,,
"Identify the bones that form the roof, floor, lateral wall, medial wall and apex of the orbit",,Y2S2,n,,,
